DATA  X_AXIS 1H           1  2135   10.999ppm    5.500ppm
DATA  Y_AXIS 15N          1  1090  135.094ppm  105.207ppm
VARS   INDEX X_AXIS Y_AXIS X_PPM Y_PPM XW YW  X1 X3 Y1 Y3 HEIGHT ASS CONFIDENCE POINTER
FORMAT %5d %9.3f %9.3f %10.6f %10.6f %7.3f %7.3f %4d %4d %4d %4d %+e %s %4.2f %3s
  164   373.565    60.658   8.084622 128.101979   2.374   2.466  369  375   56   62 +7.115838e+05 peak 0.97 <--
  165   256.850   133.704   8.997711 119.540616   3.896   2.779  252  258  129  135 +7.093888e+05 peak 0.97 <--
  166   279.930   210.274   8.817157 110.566325   4.929   1.058  275  281  206  212 +6.997852e+05 peak 0.59 <--
  167   396.645   131.591   7.904068 119.788372   3.061   2.148  392  398  127  133 +6.901896e+05 peak 0.92 <--
  168   341.584    97.299   8.334819 123.807533   3.640   2.026  337  343   93   99 +6.692569e+05 peak 0.93 <--
  169   397.304   233.526   7.898909 107.841004   2.584   2.384  393  399  229  235 +6.659229e+05 peak 0.66 <--
  170   382.467    78.509   8.014980 126.009813   3.437   2.886  378  384   74   80 +6.573462e+05 peak 0.95 <--
  171   238.057   106.929   9.144733 122.678865   2.920   2.912  234  240  102  108 +6.536767e+05 peak 0.97 <--
  172   370.598    68.174   8.107836 127.221067   3.921   1.781  366  372   64   70 +6.471394e+05 peak 0.98 <--
  173   517.976   186.082   6.954868 113.401760   2.642   1.701  513  519  182  188 +6.457794e+05 peak 0.98 <--
  174   352.135    92.366   8.252280 124.385632   3.132   2.223  348  354   88   94 +6.392896e+05 peak 0.92 <--
  175   376.203    69.114   8.063987 127.110953   2.469   1.930  372  378   65   71 +6.338760e+05 peak 0.99 <--
  176   258.499   112.331   8.984814 122.045709   3.684   2.422  254  260  108  114 +6.307947e+05 peak 0.93 <--
  177   242.343   100.822   9.111202 123.394606   4.572   2.156  238  244   96  102 +6.293134e+05 peak 0.96 <--
